email,company,processed
retrostrikewhy@gmail.com,Microsoft,1
retrostrikewhy@gmail.com,Apple,1
retrostrikewhy@gmail.com,Google,1
retrostrikewhy@gmail.com,Amazon,1
retrostrikewhy@gmail.com,Meta,1
retrostrikewhy@gmail.com,Netflix,1
retrostrikewhy@gmail.com,Adobe,1
retrostrikewhy@gmail.com,Twitter,1
retrostrikewhy@gmail.com,Intel,0
retrostrikewhy@gmail.com,Samsung,0
retrostrikewhy@gmail.com,Sony,0
retrostrikewhy@gmail.com,Oracle,0
retrostrikewhy@gmail.com,IBM,0
retrostrikewhy@gmail.com,Dell,0
retrostrikewhy@gmail.com,Cisco,0
retrostrikewhy@gmail.com,HP,0
retrostrikewhy@gmail.com,Nvidia,0
retrostrikewhy@gmail.com,Salesforce,0
retrostrikewhy@gmail.com,Adobe,0
retrostrikewhy@gmail.com,Tesla,0
